work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2022,Senior,Full-time,Data Engineer,195700,USD,195700,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,130500,USD,130500,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Analytics Engineer,170000,USD,170000,US,Remote,United States,M,Analytics Engineering and Consulting
2022,Senior,Full-time,Analytics Engineer,135000,USD,135000,US,Remote,United States,M,Analytics Engineering and Consulting
2022,Mid-level,Full-time,Data Engineer,80000,GBP,98506,GB,In-person,United Kingdom,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Engineer,60000,GBP,73880,GB,In-person,United Kingdom,M,Data Engineering and Integration
2022,Senior,Full-time,Data Analyst,117000,USD,117000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,99450,USD,99450,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,200000,USD,200000,PR,Remote,Puerto Rico,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,135000,USD,135000,PR,Remote,Puerto Rico,M,Data Engineering and Integration
2022,Senior,Full-time,Machine Learning Engineer,193900,USD,193900,US,In-person,United States,M,ML Development and Research
2022,Senior,Full-time,Machine Learning Engineer,129300,USD,129300,US,In-person,United States,M,ML Development and Research
2022,Entry-level,Full-time,Machine Learning Engineer,45000,GBP,55410,GB,Remote,United Kingdom,S,ML Development and Research
2022,Senior,Full-time,Data Analyst,70000,GBP,86193,GB,In-person,United Kingdom,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,50000,GBP,61566,GB,In-person,United Kingdom,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,175000,USD,175000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Analyst,130000,USD,130000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Data Engineer,188100,USD,188100,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,139860,USD,139860,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Machine Learning Engineer,248700,USD,248700,US,In-person,United States,M,ML Development and Research
2022,Senior,Full-time,Machine Learning Engineer,167100,USD,167100,US,In-person,United States,M,ML Development and Research
2022,Senior,Full-time,Data Scientist,123400,USD,123400,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,88100,USD,88100,US,In-person,United States,M,Advanced Data Science and Research
2022,Mid-level,Full-time,BI Data Analyst,48000,EUR,50432,DE,Remote,Germany,S,Core Data Analysis
2022,Senior,Full-time,Data Scientist,245000,USD,245000,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,205000,USD,205000,US,In-person,United States,M,Advanced Data Science and Research
2022,Senior,Full-time,Data Engineer,141300,USD,141300,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,102100,USD,102100,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Architect,141300,USD,141300,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Architect,102100,USD,102100,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Entry-level,Full-time,Data Analyst,50000,USD,50000,AR,Remote,Argentina,L,Core Data Analysis
2022,Entry-level,Full-time,Data Scientist,80000,EUR,84053,BE,Remote,Belgium,L,Advanced Data Science and Research
2022,Mid-level,Full-time,Lead Data Scientist,50000,GBP,61566,GB,Hybrid,United Kingdom,S,Advanced Data Science and Research
2022,Senior,Full-time,Data Architect,250000,USD,250000,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Architect,63000,USD,63000,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Science Manager,189500,USD,189500,US,Remote,United States,L,Data Product and Project Management
2022,Senior,Full-time,Data Science Manager,140100,USD,140100,US,Remote,United States,L,Data Product and Project Management
2022,Senior,Full-time,Data Engineer,177600,USD,177600,US,Remote,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,131300,USD,131300,US,Remote,United States,L,Data Engineering and Integration
2022,Mid-level,Full-time,Data Engineer,24000,USD,24000,US,In-person,United States,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Engineer,24000,USD,24000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,250000,USD,250000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,63000,USD,63000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Machine Learning Engineer,202900,USD,202900,US,Remote,United States,L,ML Development and Research
2022,Senior,Full-time,Machine Learning Engineer,131300,USD,131300,US,Remote,United States,L,ML Development and Research
2022,Senior,Full-time,Data Engineer,145000,USD,145000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,115000,USD,115000,US,Remote,United States,M,Data Engineering and Integration
2022,Entry-level,Full-time,Machine Learning Engineer,115000,USD,115000,US,Hybrid,United States,L,ML Development and Research
2022,Mid-level,Full-time,Machine Learning Engineer,193900,USD,193900,US,In-person,United States,M,ML Development and Research
2022,Mid-level,Full-time,Machine Learning Engineer,129300,USD,129300,US,In-person,United States,M,ML Development and Research
2022,Senior,Full-time,Data Scientist,180000,USD,180000,US,Remote,United States,L,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,140000,USD,140000,US,Remote,United States,L,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Analyst,216200,USD,216200,US,In-person,United States,M,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,144100,USD,144100,US,In-person,United States,M,Core Data Analysis
2022,Senior,Full-time,Machine Learning Scientist,216000,USD,216000,US,In-person,United States,M,Other
2022,Senior,Full-time,Machine Learning Scientist,144000,USD,144000,US,In-person,United States,M,Other
2022,Entry-level,Full-time,Data Analyst,150000,USD,150000,US,Remote,United States,L,Core Data Analysis
2022,Entry-level,Full-time,Applied Data Scientist,50000,USD,50000,AT,Hybrid,Austria,M,Advanced Data Science and Research
2021,Senior,Full-time,Cloud Data Architect,250000,USD,250000,US,Hybrid,United States,L,"Data Architecture, Strategy, and Modeling"
2022,Executive,Full-time,Research Scientist,80000,EUR,84053,NL,In-person,Netherlands,L,Advanced Data Science and Research
2022,Mid-level,Full-time,Data Scientist,107000,GBP,131752,GB,Remote,United Kingdom,M,Advanced Data Science and Research
2022,Senior,Full-time,Analytics Engineer,48000,USD,48000,AR,Remote,United States,S,Analytics Engineering and Consulting
2022,Executive,Full-time,Data Science Manager,260500,USD,260500,US,In-person,United States,M,Data Product and Project Management
2022,Executive,Full-time,Data Science Manager,175100,USD,175100,US,In-person,United States,M,Data Product and Project Management
2022,Senior,Full-time,Data Engineer,210000,USD,210000,US,Remote,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,100000,USD,100000,US,Remote,United States,M,Data Engineering and Integration
2022,Entry-level,Full-time,Data Analyst,55000,USD,55000,US,Remote,United States,S,Core Data Analysis
2022,Mid-level,Full-time,Data Analyst,130000,USD,130000,US,Remote,United States,M,Core Data Analysis
2022,Senior,Full-time,Applied Machine Learning Scientist,73400,EUR,77119,FR,Remote,United Kingdom,L,Other
2022,Entry-level,Full-time,Data Scientist,49500,EUR,52008,BE,Hybrid,Belgium,S,Advanced Data Science and Research
2022,Senior,Full-time,Data Engineer,206699,USD,206699,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,99100,USD,99100,US,In-person,United States,M,Data Engineering and Integration
2022,Mid-level,Full-time,Analytics Engineer,200000,USD,200000,US,In-person,United States,M,Analytics Engineering and Consulting
2022,Mid-level,Full-time,Analytics Engineer,54000,USD,54000,US,In-person,United States,M,Analytics Engineering and Consulting
2022,Senior,Full-time,Data Engineer,250000,USD,250000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,63000,USD,63000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Architect,250000,USD,250000,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Architect,63000,USD,63000,US,In-person,United States,M,"Data Architecture, Strategy, and Modeling"
2022,Senior,Full-time,Data Engineer,250000,USD,250000,US,In-person,United States,M,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,63000,USD,63000,US,In-person,United States,M,Data Engineering and Integration
2022,Entry-level,Full-time,Analytics Engineer,130000,USD,130000,US,Hybrid,United States,L,Analytics Engineering and Consulting
2022,Senior,Full-time,Data Engineer,100000,USD,100000,US,In-person,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Engineer,80000,USD,80000,US,In-person,United States,L,Data Engineering and Integration
2022,Senior,Full-time,Data Scientist,160000,USD,160000,US,In-person,United States,L,Advanced Data Science and Research
2022,Senior,Full-time,Data Scientist,100000,USD,100000,US,In-person,United States,L,Advanced Data Science and Research
2022,Senior,Full-time,Data Specialist,221300,USD,221300,US,Remote,United States,L,Data Management and Analysis
2022,Senior,Full-time,Data Specialist,148700,USD,148700,US,Remote,United States,L,Data Management and Analysis
2022,Entry-level,Full-time,Machine Learning Engineer,30000,USD,30000,GB,Remote,United Kingdom,L,ML Development and Research
2022,Entry-level,Full-time,Data Analyst,27000,EUR,28368,FR,Hybrid,France,M,Core Data Analysis
2022,Mid-level,Full-time,Data Engineer,74000,GBP,91118,GB,In-person,United Kingdom,M,Data Engineering and Integration
2022,Mid-level,Full-time,Data Engineer,50000,GBP,61566,GB,In-person,United Kingdom,M,Data Engineering and Integration
